id,symbol,interval,direction,exit_style,entry_price,sl_price,tp_price,current_sl,score,risk_label,open_time,status,peak_pnl_pct,exit_price,exit_time,exit_reason,pnl_pct,result,current_price,current_pnl_pct
HYPE_4h_cpr_target_2026-05-12,HYPE,4h,short,cpr_target,40.284,41.519678565,40.633,41.519678565,7.8,Low-Medium Risk,2026-05-12T17:00:36.578532+00:00,closed,0.0090110217456061,40.633,2026-05-12T17:00:36.579964+00:00,tp_s1_hit,-0.866,loss,,
PENDLE_1w_cpr_target_2026-05-12,PENDLE,1w,long,cpr_target,1.9479,1.50574071,1.39086667,1.50574071,7.63,Low-Medium Risk,2026-05-12T17:00:36.578740+00:00,closed,0.0247445967452128,1.39086667,2026-05-12T17:00:36.582533+00:00,tp_r1_hit,-28.597,loss,,
HYPE_1d_cpr_target_2026-05-12,HYPE,1d,short,cpr_target,41.996,44.659892855,42.18333333,44.659892855,7.3,Low-Medium Risk,2026-05-12T17:00:36.578993+00:00,closed,0.0494094675683399,42.18333333,2026-05-12T17:00:36.585534+00:00,tp_s1_hit,-0.446,loss,,
PENDLE_1d_fixed_pct_2026-05-12,PENDLE,1d,long,fixed_pct,2.148,1.865871435,2.03263333,1.865871435,7.13,Low-Medium Risk,2026-05-12T17:00:36.579276+00:00,closed,0.0,1.9961,2026-05-12T17:00:36.588162+00:00,stop_hit (-7%),-7.072,loss,,
TON_1w_cpr_target_2026-05-12,TON,1w,long,cpr_target,2.4556,2.069071435,1.37093333,2.069071435,7.02,Low-Medium Risk,2026-05-12T17:00:36.579593+00:00,closed,0.0,1.37093333,2026-05-12T17:00:36.590723+00:00,tp_r1_hit,-44.171,loss,,
PENDLE_1d_cpr_target_2026-05-12,PENDLE,1d,long,cpr_target,2.148,1.865871435,2.03263333,1.865871435,7.13,Low-Medium Risk,2026-05-12T17:00:36.579276+00:00,closed,0.0,2.03263333,2026-05-12T21:54:40.575059+00:00,tp_r1_hit,-5.371,loss,1.9961,-7.072
PENDLE_1w_cpr_target_2026-05-12,PENDLE,1w,long,cpr_target,1.9479,1.50574071,1.39086667,1.50574071,8.13,Low Risk,2026-05-12T22:00:35.682792+00:00,closed,0.0490784947892601,1.39086667,2026-05-12T22:00:35.685057+00:00,tp_r1_hit,-28.597,loss,,
HYPE_4h_cpr_target_2026-05-12,HYPE,4h,short,cpr_target,40.284,41.519678565,40.633,41.519678565,7.8,Low-Medium Risk,2026-05-12T22:00:35.683219+00:00,closed,0.0,40.633,2026-05-12T22:00:35.689665+00:00,tp_s1_hit,-0.866,loss,,
PENDLE_1d_cpr_target_2026-05-12,PENDLE,1d,long,cpr_target,2.148,1.865871435,2.03263333,1.865871435,7.63,Low-Medium Risk,2026-05-12T22:00:35.683610+00:00,closed,0.0,2.03263333,2026-05-12T22:00:35.692794+00:00,tp_r1_hit,-5.371,loss,,
TON_1w_cpr_target_2026-05-12,TON,1w,long,cpr_target,2.4556,2.069071435,1.37093333,2.069071435,7.32,Low-Medium Risk,2026-05-12T22:00:35.684058+00:00,closed,0.0,1.37093333,2026-05-12T22:00:35.695874+00:00,tp_r1_hit,-44.171,loss,,
HYPE_1d_cpr_target_2026-05-12,HYPE,1d,short,cpr_target,41.996,44.659892855,42.18333333,44.659892855,7.3,Low-Medium Risk,2026-05-12T22:00:35.684514+00:00,closed,0.0393132679302791,42.18333333,2026-05-12T22:00:35.698995+00:00,tp_s1_hit,-0.446,loss,,
TON_1w_fixed_pct_2026-05-12,TON,1w,long,fixed_pct,2.4556,2.069071435,1.37093333,2.069071435,7.02,Low-Medium Risk,2026-05-12T17:00:36.579593+00:00,closed,0.0,2.2662,2026-05-13T08:24:32.564373+00:00,stop_hit (-7%),-7.713,loss,2.3205,-5.502
TON_1w_fixed_pct_2026-05-12,TON,1w,long,fixed_pct,2.4556,2.069071435,1.37093333,2.069071435,7.32,Low-Medium Risk,2026-05-12T22:00:35.684058+00:00,closed,0.0,2.2662,2026-05-13T08:24:32.569094+00:00,stop_hit (-7%),-7.713,loss,2.3205,-5.502
PENDLE_1w_cpr_target_2026-05-13,PENDLE,1w,long,cpr_target,1.9479,1.50574071,1.39086667,1.50574071,7.63,Low-Medium Risk,2026-05-13T08:24:32.561210+00:00,closed,0.0811643308178037,1.39086667,2026-05-13T08:24:32.572630+00:00,tp_r1_hit,-28.597,loss,,
TON_1w_fixed_pct_2026-05-13,TON,1w,long,fixed_pct,2.4556,2.069071435,1.37093333,2.069071435,7.32,Low-Medium Risk,2026-05-13T08:24:32.561819+00:00,closed,0.0,2.2662,2026-05-13T08:24:32.576149+00:00,stop_hit (-7%),-7.713,loss,,
TON_1w_cpr_target_2026-05-13,TON,1w,long,cpr_target,2.4556,2.069071435,1.37093333,2.069071435,7.32,Low-Medium Risk,2026-05-13T08:24:32.561819+00:00,closed,0.0,1.37093333,2026-05-13T08:24:32.579673+00:00,tp_r1_hit,-44.171,loss,,
PENDLE_1d_cpr_target_2026-05-13,PENDLE,1d,long,cpr_target,2.148,1.865871435,2.03263333,1.865871435,7.13,Low-Medium Risk,2026-05-13T08:24:32.562387+00:00,closed,0.0,2.03263333,2026-05-13T08:24:32.583077+00:00,tp_r1_hit,-5.371,loss,,
STABLE_1d_cpr_target_2026-05-13,STABLE,1d,long,cpr_target,0.040304,0.03695975,0.03499933,0.03695975,6.81,Low-Medium Risk,2026-05-13T08:24:32.563656+00:00,closed,0.0,0.03499933,2026-05-13T08:24:32.586528+00:00,tp_r1_hit,-13.162,loss,,
